Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2018-10-02 15:36:56,04.10.2018,*7197,OK,-87.98,RUB,-87.98,RUB,,Супермаркеты,5499.0,Колхоз,1,0,87.98
2018-10-02 15:32:05,04.10.2018,*7197,OK,-153.2,RUB,-153.2,RUB,,Супермаркеты,5411.0,SPAR,3,0,153.2
2018-10-01 16:44:26,03.10.2018,*7197,OK,-86.0,RUB,-86.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.0
2018-09-30 23:07:25,02.10.2018,*7197,OK,-39.9,RUB,-39.9,RUB,,Супермаркеты,5411.0,SPAR,0,0,39.9
2018-09-30 14:57:15,02.10.2018,*7197,OK,-78.0,RUB,-78.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,78.0
2018-09-29 09:59:38,01.10.2018,*7197,OK,-93.9,RUB,-93.9,RUB,,Супермаркеты,5411.0,SPAR,1,0,93.9
2018-09-29 09:54:01,01.10.2018,*7197,OK,-47.4,RUB,-47.4,RUB,,Супермаркеты,5411.0,Магнит,0,0,47.4
2018-09-28 17:38:25,30.09.2018,*7197,OK,-126.0,RUB,-126.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,126.0
2018-09-28 17:15:58,29.09.2018,*7197,OK,-46.9,RUB,-46.9,RUB,,Супермаркеты,5411.0,SPAR,0,0,46.9
2018-09-27 13:14:15,29.09.2018,*7197,OK,-164.97,RUB,-164.97,RUB,,Супермаркеты,5411.0,SPAR,3,0,164.97
2018-09-26 16:48:18,28.09.2018,*7197,OK,-69.9,RUB,-69.9,RUB,,Супермаркеты,5411.0,SPAR,1,0,69.9
2018-09-26 13:49:19,28.09.2018,*7197,OK,-126.0,RUB,-126.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,126.0
2018-09-25 14:27:31,27.09.2018,*7197,OK,-78.0,RUB,-78.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,78.0
2018-09-25 14:22:57,27.09.2018,*7197,OK,-394.2,RUB,-394.2,RUB,,Супермаркеты,5411.0,SPAR,7,0,394.2
2018-09-24 21:53:30,26.09.2018,*7197,OK,-87.4,RUB,-87.4,RUB,,Супермаркеты,5411.0,SPAR,1,0,87.4
2018-09-24 12:42:14,26.09.2018,*7197,OK,-78.0,RUB,-78.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,78.0
2018-09-22 21:35:08,23.09.2018,*7197,OK,-55.98,RUB,-55.98,RUB,,Супермаркеты,5411.0,Дикси,1,0,55.98
2018-09-21 15:19:11,23.09.2018,*7197,OK,-86.0,RUB,-86.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.0
2018-09-21 15:12:56,23.09.2018,*7197,OK,-8.1,RUB,-8.1,RUB,,Супермаркеты,5411.0,SPAR,0,0,8.1
